Size  | Bubble   | Insert  | Gnome   |
100  | 0.000000000000000    | 0.000000000000000    | 0.005208333333333    |
200  | 0.015625000000000    | 0.000000000000000    | 0.005208333333333    |
300  | 0.026041666666667    | 0.005208333333333    | 0.026041666666667    |
400  | 0.057291666666667    | 0.015625000000000    | 0.062500000000000    |
500  | 0.104166666666667    | 0.031250000000000    | 0.109375000000000    |
600  | 0.171875000000000    | 0.052083333333333    | 0.192708333333333    |
700  | 0.239583333333333    | 0.078125000000000    | 0.291666666666667    |
800  | 0.348958333333333    | 0.119791666666667    | 0.427083333333333    |
900  | 0.484375000000000    | 0.171875000000000    | 0.614583333333333    |
1000  | 0.692708333333333    | 0.276041666666667    | 0.890625000000000    |
